image_name,strategy,direct_accuracy,neighbor_accuracy,ssim
image_46.jpg,random_fixed_3,0.1250,0.1696,0.7221
image_46.jpg,random_fixed_6,0.2188,0.1161,0.7499
image_46.jpg,random_fixed_9,0.3281,0.2589,0.7869
image_47.jpg,random,0.0156,0.1964,0.1230
image_47.jpg,center_fixed,0.0469,0.1607,0.1494
image_47.jpg,boundary_fixed,0.5938,0.4821,0.6473
image_47.jpg,random_fixed_3,0.1094,0.2411,0.2316
image_47.jpg,random_fixed_6,0.1719,0.2321,0.2827
image_47.jpg,random_fixed_9,0.3125,0.2589,0.4373
image_48.jpg,random,0.1250,0.2857,0.2026
image_48.jpg,center_fixed,0.0625,0.4107,0.1495
image_48.jpg,boundary_fixed,0.9375,0.8839,0.9394
image_48.jpg,random_fixed_3,0.1406,0.3929,0.2421
image_48.jpg,random_fixed_6,0.6094,0.6429,0.6517
image_48.jpg,random_fixed_9,0.5625,0.5625,0.5957
image_49.jpg,random,0.0312,0.2946,0.5982
image_49.jpg,center_fixed,0.0156,0.1964,0.6484
image_49.jpg,boundary_fixed,0.5312,0.3750,0.7880
image_49.jpg,random_fixed_3,0.1406,0.1964,0.6705
image_49.jpg,random_fixed_6,0.3125,0.2589,0.7452
image_49.jpg,random_fixed_9,0.2812,0.1607,0.6518
image_5.jpg,random,0.0000,0.2589,0.4110
image_5.jpg,center_fixed,0.0312,0.1964,0.4913
image_5.jpg,boundary_fixed,0.5312,0.4375,0.7562
image_5.jpg,random_fixed_3,0.1562,0.2321,0.5689
image_5.jpg,random_fixed_6,0.2969,0.2768,0.6652
image_5.jpg,random_fixed_9,0.2969,0.2679,0.7027
image_50.jpg,random,0.0000,0.2321,0.4621
image_50.jpg,center_fixed,0.1094,0.1875,0.6818
image_50.jpg,boundary_fixed,0.6875,0.5804,0.8315
image_50.jpg,random_fixed_3,0.1719,0.1696,0.7107
image_50.jpg,random_fixed_6,0.1875,0.2143,0.7102
image_50.jpg,random_fixed_9,0.3281,0.1786,0.7531
image_51.jpg,random,0.0000,0.2857,0.2086
image_51.jpg,center_fixed,0.0312,0.3750,0.2090
image_51.jpg,boundary_fixed,0.5781,0.4821,0.5969
image_51.jpg,random_fixed_3,0.3438,0.4107,0.4438
image_51.jpg,random_fixed_6,0.2812,0.4107,0.3485
image_51.jpg,random_fixed_9,0.4531,0.5089,0.5491
image_52.jpg,random,0.0781,0.2232,0.2859
image_52.jpg,center_fixed,0.1406,0.1875,0.3080
image_52.jpg,boundary_fixed,0.5781,0.4375,0.6621
image_52.jpg,random_fixed_3,0.2344,0.2232,0.3945
image_52.jpg,random_fixed_6,0.2188,0.2054,0.4550
image_52.jpg,random_fixed_9,0.3594,0.2232,0.5325
image_53.jpg,random,0.1875,0.2500,0.4040
image_53.jpg,center_fixed,0.0156,0.1250,0.2693
image_53.jpg,boundary_fixed,0.7031,0.5000,0.7679
image_53.jpg,random_fixed_3,0.1562,0.2500,0.3921
image_53.jpg,random_fixed_6,0.1719,0.2054,0.3718
image_53.jpg,random_fixed_9,0.3125,0.2857,0.5134
image_54.jpg,random,0.0781,0.3482,0.3533
image_54.jpg,center_fixed,0.0312,0.2679,0.2916
image_54.jpg,boundary_fixed,0.7031,0.5893,0.8574
image_54.jpg,random_fixed_3,0.2188,0.2589,0.5889
image_54.jpg,random_fixed_6,0.4688,0.3482,0.7021
image_54.jpg,random_fixed_9,0.4219,0.3661,0.6920
image_55.jpg,random,0.0000,0.4018,0.5778
image_55.jpg,center_fixed,0.1562,0.3214,0.6559
image_55.jpg,boundary_fixed,0.8438,0.7411,0.9607
image_55.jpg,random_fixed_3,0.3281,0.3214,0.7248
image_55.jpg,random_fixed_6,0.3125,0.2857,0.7014
image_55.jpg,random_fixed_9,0.5156,0.4286,0.8509
image_56.jpg,random,0.0312,0.1071,0.2807
image_56.jpg,center_fixed,0.0625,0.2143,0.3579
image_56.jpg,boundary_fixed,0.5469,0.4286,0.6289
image_56.jpg,random_fixed_3,0.0469,0.1786,0.3353
image_56.jpg,random_fixed_6,0.1875,0.1250,0.4518
image_56.jpg,random_fixed_9,0.2344,0.2054,0.4871
image_57.jpg,random,0.0156,0.1250,0.2150
image_57.jpg,center_fixed,0.0625,0.2679,0.2872
image_57.jpg,boundary_fixed,0.5938,0.4821,0.6924
image_57.jpg,random_fixed_3,0.0781,0.1429,0.2666
image_57.jpg,random_fixed_6,0.3750,0.4018,0.4866
image_57.jpg,random_fixed_9,0.6094,0.4911,0.6965
image_58.jpg,random,0.0000,0.3661,0.1227
image_58.jpg,center_fixed,0.2188,0.3214,0.3599
image_58.jpg,boundary_fixed,0.5781,0.4464,0.5849
image_58.jpg,random_fixed_3,0.0938,0.2679,0.1762
image_58.jpg,random_fixed_6,0.4688,0.3929,0.5497
image_58.jpg,random_fixed_9,0.4219,0.3661,0.4735
image_59.jpg,random,0.0312,0.3393,0.2135
image_59.jpg,center_fixed,0.0312,0.3393,0.2135
image_59.jpg,boundary_fixed,0.7344,0.6250,0.7617
image_59.jpg,random_fixed_3,0.3906,0.3839,0.4796
image_59.jpg,random_fixed_6,0.6406,0.5893,0.6933
image_59.jpg,random_fixed_9,0.7969,0.6786,0.8221
image_6.jpg,random,0.0000,0.2589,0.4557
image_6.jpg,center_fixed,0.0938,0.3661,0.6184
image_6.jpg,boundary_fixed,0.5625,0.5089,0.7728
image_6.jpg,random_fixed_3,0.1562,0.2589,0.5622
image_6.jpg,random_fixed_6,0.3594,0.2768,0.6449
image_6.jpg,random_fixed_9,0.5625,0.4375,0.6739
image_60.jpg,random,0.0156,0.2589,0.1495
image_60.jpg,center_fixed,0.0938,0.3304,0.2325
image_60.jpg,boundary_fixed,0.5938,0.4911,0.6362
image_60.jpg,random_fixed_3,0.0469,0.1786,0.1446
image_60.jpg,random_fixed_6,0.1719,0.1250,0.2891
image_60.jpg,random_fixed_9,0.4219,0.3125,0.5089
image_61.jpg,random,0.0156,0.2500,0.5770
image_61.jpg,center_fixed,0.1250,0.2589,0.6838
image_61.jpg,boundary_fixed,0.5938,0.5000,0.8038
image_61.jpg,random_fixed_3,0.1875,0.2768,0.7051
image_61.jpg,random_fixed_6,0.1875,0.1429,0.6742
image_61.jpg,random_fixed_9,0.5000,0.4286,0.8293
image_62.jpg,random,0.0625,0.2679,0.5426
image_62.jpg,center_fixed,0.0469,0.1875,0.5846
image_62.jpg,boundary_fixed,0.6406,0.4732,0.7940
image_62.jpg,random_fixed_3,0.1562,0.2321,0.6625
image_62.jpg,random_fixed_6,0.4375,0.3214,0.6942
image_62.jpg,random_fixed_9,0.4688,0.3304,0.7509
image_63.jpg,random,0.0000,0.3036,0.4347
image_63.jpg,center_fixed,0.0781,0.3482,0.5273
image_63.jpg,boundary_fixed,0.9062,0.8661,0.9252
image_63.jpg,random_fixed_3,0.3594,0.4911,0.6263
image_63.jpg,random_fixed_6,0.6562,0.6786,0.8555
image_63.jpg,random_fixed_9,0.5156,0.4732,0.6562
image_64.jpg,random,0.0312,0.1696,0.2073
